instrument,energy_kev,counts,error
pn,0.9,0.0,1.0
pn,0.901,0.0,1.0
pn,0.902,0.0,1.0
pn,0.903,0.0,1.0
pn,0.904,0.0,1.0
pn,0.905,1.0,1.0
pn,0.906,0.0,1.0
pn,0.907,0.0,1.0
pn,0.908,1.0,1.0
pn,0.909,0.0,1.0
pn,0.91,0.0,1.0
pn,0.911,0.0,1.0
pn,0.912,1.0,1.0
pn,0.913,1.0,1.0
pn,0.914,1.0,1.0
pn,0.915,0.0,1.0
pn,0.916,0.0,1.0
pn,0.917,0.0,1.0
pn,0.918,0.0,1.0
pn,0.919,0.0,1.0
pn,0.92,0.0,1.0
pn,0.921,1.0,1.0
pn,0.922,0.0,1.0
pn,0.923,0.0,1.0
pn,0.924,0.0,1.0
pn,0.925,1.0,1.0
pn,0.926,0.0,1.0
pn,0.927,0.0,1.0
pn,0.928,1.0,1.0
pn,0.929,1.0,1.0
pn,0.93,1.0,1.0
pn,0.931,1.0,1.0
pn,0.932,0.0,1.0
pn,0.933,0.0,1.0
pn,0.934,0.0,1.0
pn,0.935,0.0,1.0
pn,0.936,1.0,1.0
pn,0.937,0.0,1.0
pn,0.938,0.0,1.0
pn,0.939,0.0,1.0
pn,0.94,1.0,1.0
pn,0.941,0.0,1.0
pn,0.942,0.0,1.0
pn,0.943,0.0,1.0
pn,0.944,0.0,1.0
pn,0.945,0.0,1.0
pn,0.946,0.0,1.0
pn,0.947,0.0,1.0
pn,0.948,1.0,1.0
pn,0.949,0.0,1.0
pn,0.95,0.0,1.0
pn,0.951,0.0,1.0
pn,0.952,0.0,1.0
pn,0.953,0.0,1.0
pn,0.954,1.0,1.0
pn,0.955,0.0,1.0
pn,0.956,0.0,1.0
pn,0.957,1.0,1.0
pn,0.958,1.0,1.0
pn,0.959,0.0,1.0
pn,0.96,0.0,1.0
pn,0.961,0.0,1.0
pn,0.962,0.0,1.0
pn,0.963,0.0,1.0
pn,0.964,0.0,1.0
pn,0.965,1.0,1.0
pn,0.966,0.0,1.0
pn,0.967,0.0,1.0
pn,0.968,0.0,1.0
pn,0.969,1.0,1.0
pn,0.97,0.0,1.0
pn,0.971,1.0,1.0
pn,0.972,0.0,1.0
pn,0.973,0.0,1.0
pn,0.974,0.0,1.0
pn,0.975,0.0,1.0
pn,0.976,0.0,1.0
pn,0.977,0.0,1.0
pn,0.978,0.0,1.0
pn,0.979,0.0,1.0
pn,0.98,0.0,1.0
pn,0.981,1.0,1.0
pn,0.982,0.0,1.0
pn,0.983,0.0,1.0
pn,0.984,0.0,1.0
pn,0.985,0.0,1.0
pn,0.986,0.0,1.0
pn,0.987,0.0,1.0
pn,0.988,0.0,1.0
pn,0.989,1.0,1.0
pn,0.99,0.0,1.0
pn,0.991,0.0,1.0
pn,0.992,1.0,1.0
pn,0.993,0.0,1.0
pn,0.994,0.0,1.0
pn,0.995,0.0,1.0
pn,0.996,0.0,1.0
pn,0.997,0.0,1.0
pn,0.998,0.0,1.0
pn,0.999,0.0,1.0
pn,1.0,0.0,1.0
pn,1.001,0.0,1.0
pn,1.002,0.0,1.0
pn,1.003,0.0,1.0
pn,1.004,0.0,1.0
pn,1.005,0.0,1.0
pn,1.006,0.0,1.0
pn,1.007,1.0,1.0
pn,1.008,1.0,1.0
pn,1.009,0.0,1.0
pn,1.01,0.0,1.0
pn,1.011,0.0,1.0
pn,1.012,0.0,1.0
pn,1.013,0.0,1.0
pn,1.014,2.0,1.4142135623730951
pn,1.015,0.0,1.0
pn,1.016,0.0,1.0
pn,1.017,0.0,1.0
pn,1.018,0.0,1.0
pn,1.019,1.0,1.0
pn,1.02,0.0,1.0
pn,1.021,0.0,1.0
pn,1.022,0.0,1.0
pn,1.023,0.0,1.0
pn,1.024,0.0,1.0
pn,1.025,0.0,1.0
pn,1.026,0.0,1.0
pn,1.027,0.0,1.0
pn,1.028,0.0,1.0
pn,1.029,0.0,1.0
pn,1.03,0.0,1.0
pn,1.031,0.0,1.0
pn,1.032,0.0,1.0
pn,1.033,0.0,1.0
pn,1.034,0.0,1.0
pn,1.035,0.0,1.0
pn,1.036,0.0,1.0
pn,1.037,0.0,1.0
pn,1.038,0.0,1.0
pn,1.039,0.0,1.0
pn,1.04,0.0,1.0
pn,1.041,0.0,1.0
pn,1.042,1.0,1.0
pn,1.043,1.0,1.0
pn,1.044,0.0,1.0
pn,1.045,1.0,1.0
pn,1.046,0.0,1.0
pn,1.047,0.0,1.0
pn,1.048,0.0,1.0
pn,1.049,0.0,1.0
pn,1.05,0.0,1.0
pn,1.051,0.0,1.0
pn,1.052,0.0,1.0
pn,1.053,0.0,1.0
pn,1.054,1.0,1.0
pn,1.055,0.0,1.0
